feature,shap_importance
return_correlation_ts1_lag_0,0.45180623973727463
return_kurtosis1,0.046558039661487936
standardised_price_mean1,0.0
price_adf_p_values,0.0
price2_granger_cause_price1,0.0
co_integration_statistic,0.0
durbin_watson_statistic2,0.0
durbin_watson_statistic1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_lag1_rolling_sd2,0.0
standardised_price_mean2,0.0
return_autocorrelation_lag1_rolling_sd1,0.0
return_autocorrelation_lag1_2,0.0
return_autocorrelation_lag1_1,0.0
return_kurtosis2,0.0
return_skew2,0.0
return_skew1,0.0
return_sd2,0.0
return_sd1,0.0
return_mean2,0.0
return_mean1,0.0
price1_granger_cause_price2,0.0
