feature,mean_importance
return_mean1,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_3,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
return_correlation_ts2_lag_1,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_0,0.0
price2_granger_cause_price1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_1,0.0
return_mean2,0.0
return_sd2,0.0
return_skew1,0.0
return_skew2,0.0
return_correlation_ts1_lag_2,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
return_autocorrelation_1_lag3,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag3,0.0
return_correlation_ts1_lag_0,0.0
price1_granger_cause_price2,0.8374542776959485
sqreturn_autocorrelation_ts2_lag1,1.310655441258131
return_sd1,1.8156015678211976
return_kurtosis2,2.4156360446864062
return_kurtosis1,2.5140557818554106
