feature,mean_importance
return_correlation_ts1_lag_3,0.0
return_correlation_ts2_lag_3,0.0
sqreturn_autocorrelation_ts1_lag1,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
sqreturn_autocorrelation_ts2_lag2,0.0
return_correlation_ts2_lag_2,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts1_lag_0,0.0
return_correlation_ts2_lag_1,0.0
price1_granger_cause_price2,0.0
return_correlation_ts1_lag_2,0.0
skewness1,0.0
skewness2,0.0
kurtosis1,0.0
kurtosis2,0.0
price2_granger_cause_price1,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag3,0.0
return_correlation_ts1_lag_0,0.0
return_correlation_ts1_lag_1,0.0
return_autocorrelation_1_lag3,0.0
sd1,0.0011926761988936053
sd2,0.00163853743980672
mean2,0.008067205856586324
mean1,0.010014754944834236
return_autocorrelation_2_lag1,0.30030182641128017
