feature,mean_importance
return_mean1,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
return_correlation_ts1_lag_3,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts1_lag_1,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_lag1_rolling_sd2,0.0
price2_granger_cause_price1,0.0
price1_granger_cause_price2,0.0
return_autocorrelation_lag1_1,0.0
return_skew1,0.0
return_sd1,0.0
return_autocorrelation_lag1_2,0.0
return_mean2,0.00035339574190392035
return_sd2,0.0013509007427712986
return_autocorrelation_lag1_rolling_sd1,0.002637760816463109
return_skew2,0.016519780677539862
return_kurtosis2,0.08226392841202089
return_kurtosis1,0.8650052080016541
