feature,mean_importance
return_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts2_lag_3,0.0
sqreturn_correlation_ts2_lag_2,0.0
sqreturn_correlation_ts2_lag_1,0.0
sqreturn_correlation_ts1_lag_3,0.0
sqreturn_correlation_ts1_lag_2,0.0
sqreturn_correlation_ts1_lag_1,0.0
sqreturn_correlation_ts1_lag_0,0.0
sqreturn_autocorrelation_ts2_lag3,0.0
sqreturn_autocorrelation_ts2_lag1,0.0
sqreturn_autocorrelation_ts1_lag3,0.0
sqreturn_autocorrelation_ts1_lag2,0.0
return_correlation_ts2_lag_3,0.0
return_correlation_ts2_lag_2,0.0
return_correlation_ts2_lag_1,0.0
price2_granger_cause_price1,0.0
price1_granger_cause_price2,0.0
return_correlation_ts1_lag_1,0.0
return_mean2,0.0
return_skew1,0.0
return_skew2,0.0
return_kurtosis2,0.0
return_correlation_ts1_lag_2,0.0
return_autocorrelation_1_lag2,0.0
return_autocorrelation_1_lag1,0.0
return_autocorrelation_2_lag1,0.0
return_autocorrelation_2_lag2,0.0
return_autocorrelation_2_lag3,0.0
return_correlation_ts1_lag_0,0.0
return_autocorrelation_1_lag3,0.0
return_sd2,0.07410618643997764
sqreturn_autocorrelation_ts2_lag2,0.1391455878233953
return_kurtosis1,0.3721269457568074
return_mean1,0.43020743497618863
sqreturn_autocorrelation_ts1_lag1,0.9622551870800151
return_sd1,1.126253950303767
